,Total Return,Benchmark Return,Excess Return,Annualized Return,Annualized Volatility,Benchmark Volatility,Sharpe Ratio,Max Drawdown,Max Drawdown Days,Win Rate,Number of Trades,Profit Factor,Avg Trade,Calmar Ratio,Sortino Ratio
Trend Following,0.2826638629908489,0.2754327291495766,0.007231133841272275,2.4214068206378245,0.33432737785341576,0.331876820271724,7.242621995795626,-0.05019429067834058,10.0,0.6470588235294118,51.0,2.1318350300027906,0.005103357392082585,48.24068211571898,14.766480182535057
Mean Reversion,-0.026451646796472827,0.2754327291495766,-0.30188437594604944,-0.12406378201156743,0.06037026716448031,0.331876820271724,-2.055047755106873,-0.031854563881231195,1.0,0.14285714285714285,7.0,0.36021198090230316,-0.0037768617826078005,-3.8946941001652258,-1.1506296878704088
Momentum,0.028319769830146724,0.2754327291495766,-0.2471129593194299,0.1479619785841504,0.046580460955074746,0.331876820271724,3.1764816309322192,-0.0010000000000000009,0.0,0.5,4.0,18.01128421976947,0.00703675229046663,147.96197858415024,38.163899732746344
