,Total Return,Benchmark Return,Excess Return,Annualized Return,Annualized Volatility,Benchmark Volatility,Sharpe Ratio,Max Drawdown,Max Drawdown Days,Win Rate,Number of Trades,Profit Factor,Avg Trade,Calmar Ratio,Sortino Ratio
Trend Following,-0.03848021740781238,0.0796555585833556,-0.11813577599116798,-0.17625350963560105,0.1643593283497045,0.16210343003953473,-1.0723669377657075,-0.09327630488232565,0.0,0.54,50.0,0.8378880227936081,-0.0007308302246706266,-1.8895850329615516,-1.7307700121166791
Mean Reversion,-0.02274565897260794,0.0796555585833556,-0.10240121755596354,-0.10746382136365651,0.03758680970162712,0.16210343003953473,-2.8590833384564807,-0.027104920509514064,0.0,0.1111111111111111,9.0,0.19352818332150656,-0.002540234836347638,-3.964734791453669,-1.4159246871969409
Momentum,0.007710782792304416,0.0796555585833556,-0.07194477579105119,0.03868365752846037,0.01955353741129479,0.16210343003953473,1.9783457445462207,-0.0010000000000000009,0.0,0.5,2.0,8.719502294599057,0.0038597511472995287,38.68365752846034,
