Bar Type,N Bars,N Returns,Mean Return (%),Std Dev (%),Sharpe Ratio,Skewness,Kurtosis,JB p-value,ADF p-value,AutoCorr Lag1
Time Bars (1min),137,137,0.0310661016367892,0.2734155922981038,0.11362227507097682,-0.007871350003024706,1.2308850710383235,0.024013763144053204,2.3796066913122715e-20,0.032553523863249
Time Bars (5min),27,27,0.16748448719033832,0.5815501053559572,0.28799665866765484,-0.5866011668484613,0.6639145287651251,0.4715920000437621,5.319791732576009e-06,-0.07745802776138937
Volume Bars,1164,1164,0.004035999215465447,0.10167489916741014,0.03969513860859678,-0.10294081349621972,-0.09869298781056512,0.2767580193707705,0.0,0.0008385556409514419
Tick Bars,29,29,0.15249391096513312,0.512798231782781,0.29737604678350144,-0.12104260420697052,-0.45544848631716706,0.790201026323148,6.687040567489436e-06,-0.04871631651829043
